Actual,Predictions
7,"[1.0305273e-06 1.0697486e-05 2.2956586e-04 1.2158715e-05 5.7451319e-07
 8.8430932e-07 2.1293023e-09 9.9974114e-01 3.3513409e-06 5.8260343e-07]"
2,"[6.5915330e-08 1.7977455e-06 9.9999440e-01 6.9277910e-08 1.9543370e-07
 1.4548565e-10 3.3751833e-06 1.1157023e-07 4.2233692e-09 3.4591121e-09]"
1,"[1.3846035e-09 1.0000000e+00 3.9261443e-09 4.4203106e-11 5.0204756e-09
 5.6286638e-09 4.4848520e-08 2.6684111e-08 1.4943156e-08 9.8328852e-11]"
0,"[9.9996054e-01 6.2929844e-09 3.0105886e-07 1.1993551e-08 3.6256736e-07
 1.9142353e-06 3.2006377e-05 3.8042201e-09 3.8580097e-06 1.0688274e-06]"
4,"[3.4306291e-09 4.1371291e-06 7.7373707e-09 3.5110934e-09 9.9991441e-01
 1.9406317e-08 3.4985611e-08 1.0757839e-06 2.0304876e-06 7.8309371e-05]"
1,"[2.6894205e-09 1.0000000e+00 1.0962877e-09 3.4615221e-12 3.8986214e-10
 4.7099152e-10 3.2962846e-09 2.7984877e-08 5.1499147e-09 7.7163456e-11]"
4,"[4.44059733e-10 2.38433199e-06 1.00437214e-08 1.00039005e-11
 9.99735653e-01 7.58566632e-09 4.59294469e-08 3.67414899e-08
 2.60687346e-04 1.23833365e-06]"
9,"[6.0471002e-08 3.5715902e-07 4.0201549e-08 6.8036110e-07 2.0915768e-04
 4.3571545e-06 2.2589337e-08 2.2720754e-07 1.5942787e-04 9.9962568e-01]"
5,"[8.9716991e-08 7.1761669e-10 6.5424770e-11 3.8022126e-08 3.6449237e-08
 9.8991430e-01 8.6799897e-03 1.4242239e-11 1.4055356e-03 2.2430765e-08]"
9,"[4.1063863e-08 7.7162056e-08 3.7638792e-06 8.2319020e-06 2.5977231e-05
 4.4414409e-07 3.5338886e-08 7.0424328e-05 2.6855633e-02 9.7303540e-01]"
0,"[1.0000000e+00 2.1031154e-11 4.9866724e-09 1.1946687e-13 4.3388282e-10
 1.4401960e-10 4.1964723e-11 1.7954938e-10 2.7957481e-10 7.0392727e-09]"
6,"[2.6527102e-08 2.3370664e-14 3.1323566e-13 2.9727333e-14 2.0130933e-08
 4.5714041e-09 1.0000000e+00 3.2324016e-15 8.7139718e-09 4.1676211e-11]"
9,"[1.4504962e-09 2.3595574e-09 1.2984023e-09 9.7815914e-08 2.1999967e-06
 3.0022136e-08 1.9192801e-09 3.0152622e-05 1.6908814e-05 9.9995053e-01]"
0,"[1.0000000e+00 2.9173036e-11 2.7894241e-11 1.3318225e-12 3.5837690e-11
 8.6000818e-11 2.9132665e-11 1.4441617e-11 3.8516434e-10 7.0731483e-09]"
1,"[5.7229610e-10 9.9999976e-01 7.9946956e-09 3.3399772e-09 1.4196151e-07
 4.0653337e-08 7.3729616e-08 1.1986041e-08 2.4517743e-08 7.8278523e-10]"
5,"[8.5436513e-10 4.6257490e-10 8.0550215e-13 1.1003587e-05 3.7626117e-12
 9.9998903e-01 3.7375512e-11 3.6840159e-11 2.0783906e-09 2.3942006e-11]"
9,"[1.0787114e-08 4.2001762e-09 1.2502511e-08 5.9610890e-08 1.4841135e-05
 3.8348897e-08 2.0530357e-09 1.4705832e-04 3.4590194e-05 9.9980348e-01]"
7,"[5.5136900e-07 8.5228794e-07 4.7377998e-04 4.4481265e-05 6.2448954e-08
 1.2110925e-06 3.5784853e-10 9.9947411e-01 4.4869503e-06 5.5815144e-07]"
3,"[9.4898051e-04 4.2768355e-07 4.1777905e-05 8.4373420e-01 2.9569519e-06
 1.0600727e-02 5.8377242e-07 3.7014266e-05 1.4273581e-01 1.8974607e-03]"
4,"[7.0688014e-13 2.2107545e-07 1.8841603e-10 1.9419234e-11 9.9999964e-01
 2.7742111e-11 8.2589810e-11 1.0724096e-07 6.5640502e-09 1.4737963e-08]"
9,"[4.4980604e-07 1.1878573e-05 2.7641539e-05 3.6080910e-05 1.2378041e-04
 1.0355184e-05 1.4426101e-08 2.6608254e-03 7.4211712e-05 9.9705482e-01]"
6,"[3.3300283e-09 3.3000150e-12 2.4623370e-12 8.6555476e-12 2.5167819e-11
 1.7360095e-05 9.9998248e-01 1.7201137e-15 7.5921896e-08 1.1494372e-11]"
6,"[2.6339328e-09 9.8977223e-15 3.6295352e-14 8.7499118e-16 3.0954794e-07
 1.0116940e-09 9.9999964e-01 6.3263641e-16 8.4564267e-09 2.7226138e-11]"
5,"[2.2523194e-14 1.1939408e-11 4.3967824e-15 8.8415497e-08 8.6137792e-13
 9.9999988e-01 2.2815964e-10 2.4267552e-14 1.1108872e-09 1.1840210e-08]"
4,"[9.0813774e-09 2.3766836e-05 1.2842368e-07 1.5395967e-08 9.9986863e-01
 2.5080656e-08 1.3790508e-07 3.6588062e-05 2.1945948e-06 6.8455767e-05]"
0,"[9.9998903e-01 1.4137368e-10 6.3755643e-08 2.9915664e-11 8.9958503e-06
 1.3958551e-09 4.8753697e-07 5.5109695e-10 1.2716627e-06 1.2344417e-07]"
7,"[5.2889555e-07 1.3975706e-04 1.1060586e-04 1.8398559e-06 8.2303615e-07
 3.3286094e-07 3.4365524e-10 9.9974412e-01 6.9814342e-07 1.4499930e-06]"
4,"[6.21826549e-12 1.12428715e-07 1.60236657e-10 4.23143395e-11
 9.99999642e-01 3.84539345e-11 1.11289464e-10 8.29006908e-08
 8.45936299e-09 1.47380547e-07]"
0,"[9.99998927e-01 5.39345919e-08 1.07017335e-07 2.60283866e-08
 2.88849140e-08 4.50231425e-08 5.61334756e-09 5.01692128e-08
 6.72566387e-07 2.19501558e-07]"
1,"[4.3313610e-09 9.9999928e-01 1.6001358e-07 3.0804811e-10 3.2615262e-07
 1.2273617e-09 5.6570522e-09 2.7639220e-07 4.7982880e-08 3.8223473e-09]"
3,"[1.03598614e-13 3.48039508e-09 1.39704237e-09 1.00000000e+00
 2.55992818e-12 8.56961790e-09 1.41974442e-12 1.52191051e-10
 1.33151201e-09 3.90834504e-10]"
1,"[1.3881171e-10 9.9999988e-01 2.3738034e-09 4.2250637e-11 1.2694940e-08
 5.9711769e-10 4.1262851e-11 7.8930491e-08 1.0907084e-09 2.0528632e-09]"
3,"[1.2064464e-15 1.6429029e-09 9.6071354e-12 9.9999988e-01 2.1201053e-13
 1.2155195e-07 8.8568130e-14 1.9309016e-12 3.4025255e-11 3.9918034e-11]"
4,"[2.86934672e-08 1.14389884e-07 3.90947275e-09 9.72371272e-13
 9.99999881e-01 1.16843627e-11 8.97541375e-10 4.42647385e-09
 8.17587109e-10 3.75061404e-09]"
7,"[8.01214739e-08 3.55473021e-05 4.45629848e-06 1.52355994e-06
 2.32654472e-07 1.29147622e-07 5.61474200e-10 9.99957800e-01
 1.01660824e-07 1.09315231e-07]"
2,"[2.4594526e-10 7.2848900e-09 9.9999952e-01 3.5478237e-07 1.5340940e-11
 1.5558907e-12 2.9329059e-12 5.6286531e-08 7.2435696e-10 7.0009144e-11]"
7,"[8.3630404e-08 1.3101780e-05 2.9671704e-03 1.6269392e-05 1.1202506e-05
 3.2297422e-08 7.9021065e-09 9.9697292e-01 1.6979282e-05 2.1978849e-06]"
1,"[4.6191609e-10 1.0000000e+00 2.0919477e-09 2.1176384e-11 2.0334070e-08
 5.3191779e-10 2.5299571e-10 5.6966453e-08 1.5781063e-09 7.3240253e-10]"
2,"[1.1478905e-06 5.7648349e-06 9.9998188e-01 1.7211034e-08 5.5628021e-07
 2.8103746e-09 1.0072996e-05 5.0004786e-07 1.3675582e-07 7.0500423e-09]"
1,"[6.3998140e-09 9.9999988e-01 6.3007716e-10 2.5386079e-11 2.4722061e-08
 1.4754581e-09 1.1167943e-07 1.4276627e-08 5.7960630e-08 5.3063787e-10]"
1,"[6.8771591e-08 9.9999654e-01 2.6602217e-07 2.0598812e-09 5.7277198e-08
 1.9026647e-08 3.4023309e-08 2.8185502e-06 6.9123502e-08 1.3009614e-08]"
7,"[2.5169885e-07 2.0601854e-04 4.7574487e-02 1.5832041e-03 9.7542643e-06
 3.9115172e-08 8.8917233e-08 9.5058590e-01 3.8955823e-05 1.3860374e-06]"
4,"[5.9614472e-13 1.7437665e-07 5.7907897e-12 1.5202082e-12 9.9999964e-01
 2.5271094e-11 6.4120309e-09 3.0693987e-09 1.7024821e-07 6.2580789e-08]"
2,"[9.6929718e-09 4.2827992e-04 9.9948454e-01 2.1016999e-06 1.5498561e-06
 2.1833158e-08 8.1589395e-05 1.4272334e-06 5.1194343e-07 1.4273313e-10]"
3,"[1.2441425e-09 1.5664949e-04 3.0469726e-06 9.9981552e-01 9.3110636e-08
 2.1890533e-05 2.7948673e-08 9.3760093e-07 1.1920696e-06 5.6150060e-07]"
5,"[2.8237148e-09 2.6992467e-10 2.2571295e-10 6.2243366e-06 1.0265781e-10
 9.9999297e-01 1.1164308e-07 5.4940909e-11 6.8835749e-07 7.6346973e-09]"
1,"[2.6783514e-10 9.9999988e-01 3.3021426e-09 4.3387596e-11 1.5176167e-07
 5.6472965e-10 5.7475197e-10 1.3093525e-08 1.1111737e-08 1.9784940e-09]"
2,"[3.8263845e-12 3.1699057e-11 1.0000000e+00 2.8173650e-09 3.2711739e-10
 1.2166831e-12 1.3012221e-11 2.8350919e-11 2.1320065e-10 1.6643384e-12]"
